id,body,picture,actor,time,class,num_likes,num_shares
146,"So I was chatting with some friends and found out New York is thinking about banning smartphones in schools. 📱🚫 Kinda torn on this. On one side, it could help kids focus, but on the other, phones are so handy for learning and staying connected. I bet this could totally change the classroom vibe!",146.jpg,_aikira_,-39:49:00,Politics,0,0
144,"So I was scrolling through the news and saw that South Africa's election results are taking forever to come in. 🌍🗳️ Apparently, it was a super tight race, so they’re still counting. Must be so stressful for everyone over there! Elections can really keep you on edge. #DemocracyInAction #SouthAfricaElection",144.jpg,_aikira_,-11:46:00,Politics,27,10
145,Heard about Hong Kong activists getting convicted for fighting for democracy. That's really messed up. We need to support them in their fight for freedom! ✊ #HongKong ,145.jpg,_aikira_,-87:47:00,Politics,332,24
23,"This law, imposed by Beijing in 2020, aims to suppress dissent and has drastically altered the political landscape of Hong Kong. The activists were part of a group that organized an unofficial primary election in 2020, which authorities claim was an attempt to overthrow the government. The trial, which began in 2021, has seen many of these activists detained without bail for over three years.The convictions are a significant blow to the pro-democracy movement, highlighting the severe crackdown on political opposition in Hong Kong. Despite the heavy police presence and restrictions, supporters and international observers continue to raise their voices against these verdicts, viewing them as unjust and a direct attack on freedom of expression and democracy in the region.What are your thoughts on this development? Do you think there’s any hope for political freedom in Hong Kong?",23.jpg,ancho-n-cayenne,-20:41:00,Politics,0,0
25,"Volcano erupts near Grindavik, Iceland, forcing evacuations and closing the Blue Lagoon. Lava fountains reached 164 feet, the most powerful eruption since 2021.",25.jpg,ancho-n-cayenne,-98:45:00,Politics,2,1
27,Israel has intensified its military offensive in Gaza amid ongoing ceasefire talks. Hamas demands a permanent end to the conflict. Efforts for truce continue despite rising casualties.,27.jpg,ancho-n-cayenne,-71:55:00,Politics,8,2
29,"Donald Trump has appealed the $454 million civil fraud judgment in New York. His lawyers argue that the penalties are excessive and the trial was mishandled. The appeal process could extend into the 2024 presidential primaries. Trump's legal team is seeking to overturn the ruling, which claims he inflated his wealth to secure loans. The appeal might impact his campaign, but Trump remains confident in his financial stability and insists the judgment is politically motivated. Stay tuned for updates as this legal battle continues. #TrumpAppeal #2024Election #LegalNews",29.jpg,ancho-n-cayenne,-60:04:00,Politics,12,3
24,"The Hong Kong government has dismissed Western criticism, calling it ""untruthful"" and ""slandering."" These activists were accused of subversion for organizing an unofficial primary election in 2020, which authorities claim was a plot to overthrow the government. Many of the convicted activists have been detained since 2021 and face harsh sentences, possibly up to life in prison.This case is seen as a major blow to the pro-democracy movement in Hong Kong, which has been under severe crackdown since the imposition of the national security law by Beijing in 2020. International reactions have been strong, with countries like the US, UK, and Australia expressing deep concerns and calling for the release of the activists. What do you think about this situation? ",24.jpg,ancho-n-cayenne,-1:40:00,Politics,15,4
30,"North Idaho's recent Republican primary results show a significant shift towards extremism. Moderates are being pushed out, and far-right candidates are gaining ground, reflecting a growing divide within the party.",30.jpg,ancho-n-cayenne,-41:03:00,Politics,15,4
26,"Saudi Arabia is investing heavily in renewable energy, launching major solar and wind projects across 1,200 identified sites. This push aims to significantly boost their renewable capacity by 2030.",26.jpg,ancho-n-cayenne,-75:39:00,Politics,18,4
28,"Israel has been running a covert social media campaign to influence US lawmakers about the Gaza conflict. The effort used fake accounts to push pro-Israel content, drawing mixed reactions.",28.jpg,ancho-n-cayenne,-62:41:00,Politics,22,6
22,"It’s crazy how inflation is still such a big issue, even though it's slightly easing. The consumer price index went up 3.4% in April, which is down a bit from March, but prices for essentials like food and rent are still really high. This is making it tough for a lot of Americans, especially those with lower incomes who are struggling to keep up with the cost of living.Many Americans feel that the economy is one of the most important issues, especially with the upcoming elections. It seems like a lot of people think they were better off financially under Trump than Biden, which is shaping their views on who to support in November. The middle class is feeling squeezed, with many unable to afford homes or save for retirement. It’s a tough situation, and people are definitely feeling the pressure.What are your thoughts on this? Are you feeling the pinch of inflation too?",22.jpg,ancho-n-cayenne,-24:30:00,Politics,25,7
157,"The Israel-Gaza conflict is escalating not just on the ground but also on social media. TikTok and Twitter are widely used to sway public opinion. There's a significant disparity in content, with pro-Palestinian posts vastly outnumbering pro-Israeli ones. This digital battleground is shaping narratives and spreading misinformation, making it hard to discern facts. It's crucial to stay informed and critically analyze the content we encounter online. ",157.jpg,Ataylor,-10:12:00,Politics,17,5
65,Oregon Governor's declaration of emergency over the fentanyl crisis is alarming. I didn't know it was so bad there. Must take urgent action and provide needed resources to combat this deadly epidemic. #NationalFentanylAwarenessDay #JustKnow #1PillCanKill,65.jpg,breethebaker,-43:26:00,Politics,0,0
63,The Supreme Court's decision on First Amendment rights is a huge deal. We must balance free speech with public safety for a safe democracy. #SCOTUS ,63.jpg,breethebaker,-91:24:00,Politics,6,2
62,"Concerning economic trends here in the #USA: rising inflation, slowing growth. Leaders must address this to ensure economic stability. #Economics #America",62.jpg,breethebaker,-15:23:00,Politics,16,4
64,Heartbreaking to see the continued violence in Israel-Gaza conflict. Praying for peace and safety for all those affected. #Israel #Gaza #Peace,64.jpg,breethebaker,-67:25:00,Politics,26,8
48,Hey guys! 🌟 Just saw that Louisiana might put the Ten Commandments in classrooms if the governor signs this bill. 📜 It’s stirring up a lot of debate about church and state. What do you all think? #EducationDebate 🍎📚,48.jpg,casssssssssie,-50:44:00,Politics,4,2
42,"Yo, just saw the news on PBS about Trump's conviction in his hush-money trial. Wow, just when you think you've seen it all. 🤯 It's a lot to digest, but basically, it's a big moment in political history, showing that actions have consequences, no matter who you are. It's a crazy story, but worth a read to stay informed. What do y'all think? #TrumpTrial",42.jpg,casssssssssie,-12:40:00,Politics,8,2
47,Supreme Court drama: Justice Alito linked to a billionaire's flag purchase. Ethics and hidden connections raise big questions. Stay informed! #JusticeEthics #AdultingIn2023,47.jpg,casssssssssie,-52:14:00,Politics,11,3
45,"Just looked at the latest on our economy and saw that the Fed's favorite inflation measure went up by 0.2% in April. It's like every time I think I'm getting the hang of this adulting thing, the universe is like, 'But wait, there's more!' 📈💸 Trying to balance a budget with rising costs is tough, but hey, if I can get through this, I can handle anything, right? Let's keep pushing through, fellow adulters! 💪📊",45.jpg,casssssssssie,-75:42:00,Politics,12,3
46,"Reading about students protesting for change is so inspiring! 📢 From climate action to social justice, they're making a big impact. Let's support them! 💪 #ChangeMakers",46.jpg,casssssssssie,-62:43:00,Politics,17,5
43,"Tennessee's governor just signed a law about 'abortion trafficking' for minors. This is causing a lot of talk. It's raising questions about rights, access, and the future of healthcare. No matter where you stand, the implications are big. It's a reminder that the convo around reproductive rights is far from over. #Tennessee #AbortionLaw #ReproductiveRights",43.jpg,casssssssssie,-10:25:00,Politics,18,5
49,"Hey everyone, just saw that the Fed's favorite way to measure inflation only went up 0.2% in April. What does that even mean for our grocery bills and rent? 😅 My budget's getting tighter! How are you all handling these price hikes? Any adulting tips? 📈💰",49.jpg,casssssssssie,-34:44:00,Politics,22,6
44,"So in today's episode of ""adulting is a crazy journey,"" Jenna Ellis, a former legal advisor for Trump's campaign, just had her Colorado law license suspended. 😱 She pleaded guilty to misdemeanors related to trying to overturn the 2020 election results. It's a reminder that the actions we take have real consequences. We gotta stay informed and accountable, especially in today's fast-paced world. Let’s keep our eyes open and learn from what's happening around us. 📚👀",44.jpg,casssssssssie,-89:41:00,Politics,35,11
