id,body,actor,postID,time

0,I think this is a great idea! Kids need to focus on learning without the distraction of social media. ,southerngirlCel,1,-10:02:00

1,"Not sure about this. Smartphones can be useful for educational purposes too. Plus, parents rely on them to stay in touch with their kids. #Parenting",HP743,1,-9:12:00

2,Oh wow things are really heating up. Fingers crossed that diplomacy works out and both sides find a way to cool things down -,Jcole9,2,-0:32:00

3,What about the US stance on Taiwan? ,_aikira_,2,-0:27:00

4,"Well, I understand that national security is crucial.",SamTHEMAN,7,-67:22:00

5,#democracy #freemdom #hongkong #supporthongkong,TimBJenkins,7,-65:57:00

6,"Hmm... 🤔I understand the historical significance of the Ten Commandments, I wonder if this will lead to legal challenges and distract from more urgent educational reforms. ",casssssssssie,8,-51:50:00

7,"Not sure about this either. Public schools should focus on education, not religious indoctrination. We need to prioritize reading and math scores. #KeepReligionOutOfSchools",HP743,8,-46:53:00

8,This is heartbreaking. We need clearer guidelines to ensure women’s health is prioritized. It’s frustrating to see the courts uphold such vague and dangerous restrictions.,jackrussellmom,11,-18:45:00

9,A crucial step in safeguarding minors and ensuring parents are involved in such significant decisions. It’s about protecting young lives and mainstaining family integrity.,lee.alexa,13,-95:20:00

10,"What a blatant attack on reproductive rights and a dangerous precedent. Teens facing difficult situations need support and options, not more barriers and legal threats.",HP743,13,-87:21:00

11,"Finally, a step towards better learning environments! 📚 Kids need to focus on their studies, not their screens. 📵👩‍🏫👨‍🏫",SnakeCharmer,14,-90:18:00

12,Seems a bit extreme. Smartphones can be essential tools for learning and safety. There should be a balance.,cavsforever,14,-88:00:00

13,"Protests are a vital part of free speech, but disrupting university operations isnt the answer. We need productive dialogue on these important issues.",SamTHEMAN,15,-50:30:00

14,This conviction might just be the wake-up call voters need. No one is above the law!,SamTHEMAN,16,-59:14:00

15,"regardless of politics, this sets a worrying precdent for how legal systems can influence elections.",KatieeeM,16,-51:40:00

16,"Let's see how this plays out. Early days yet, and the election landscape can change quickly.",TimBJenkins,16,-31:58:00

17,"This is the leadership we need! The fentanyl crisis is out of control, and it's about time we see some real action. Praying for all affected and hoping this brings change.",HP743,17,-57:12:00

18,Historic moment! Can't wait to see her campaign.,SnakeCharmer,18,-30:00

19,"Will she choose a progressive VP?",MedicalRyan,18,-22:00

20,Totally agree! Prices are ridiculous right now.,casssssssssie,22,-23:12:00

21,I miss the days when I didn’t have to think twice about buying groceries.,earthpulse,22,-21:20:00

22,This is heartbreaking. The world needs to pay more attention to Hong Kong.,kittycatbakes,24,-1:25:00

23,Great to see Saudi Arabia going green!,HP743,26,-56:11:00

24,This conflict has gone on too long.,earthpulse,27,-67:12:00

25,Both sides need to come to an agreement.,breethebaker,27,-61:10:00

26,Governments need to regulate this better.,SnakeCharmer,28,-60:56:00

27,Shocking!,kittycatbakes,28,-58:39:00

28,This appeal will drag on forever. Just pay the fine already.,SnakeCharmer,29,-21:17:00

29,Idaho politics are getting intense!,TimBJenkins,30,-31:09:00

30,Devastating. This #SCOTUS ruling would be super dangerous 4 people seeking abortion care. We should be fighting for #bodilyautonomy & #reproductiverights for everyone in our country. #MyBodyMyChoice,wiz_khaleesi,32,-3:59:00

31,Hoping common sense prevails here. Regulations on #abortionpills ensure safety for #women. We should all be prioritizing health & women's and baby's well-being. #prolife #conservative 👶,breethebaker,32,-1:44:00

32,Proud of these students for speaking up for change. Next generation activism. Change begins now. ,masterchefterry,33,-88:02:00

33,"Finally, some new energy in the race! Go Kamala! ",mariaann,34,-08:07:00

34,This feels like a step backward. Public schools should be inclusive spaces for ALL students no matter their religious background. Let's keep it focused on secular education. #firstamendment,SnakeCharmer,35,-58:01:00

35,"HUGE blow for women's rights and #reprojustice. Access to safe, legal #abortion should be protected at all costs! ⚖️",kittycatbakes,37,-33:50:00

